	localization	go
C000001	endoplasmic_reticulum	go2
C000002	lysosome	go1
C000003	nucleus	go4
C000004	nucleus	go4
C000006	lysosome	go1
C000007	endoplasmic_reticulum	go2
C000008	lysosome	go1
C000009	lysosome	go2
C000011	endoplasmic_reticulum	go3
C000012	mitochondria	go2
C000013	nucleus	go3
C000014	nucleus	go2
C000015	nucleus	go3
C000016	mitochondria	go4
C000017	endoplasmic_reticulum	go3
C000018	lysosome	go3
C000019	lysosome	go4
C000020	lysosome	go4
C000021	nucleus	go2
C000023	mitochondria	go4
C000024	lysosome	go2
C000025	mitochondria	go2
C000026	lysosome	go4
C000027	nucleus	go4
C000028	mitochondria	go4
C000030	nucleus	go1
C000032	mitochondria	go3
C000033	nucleus	go1
C000034	lysosome	go4
C000035	nucleus	go2
C000036	endoplasmic_reticulum	go1
C000038	nucleus	go4
C000039	nucleus	go2
C000040	mitochondria	go2
C000041	endoplasmic_reticulum	go3
C000042	endoplasmic_reticulum	go3
C000043	lysosome	go1
C000044	mitochondria	go2
C000047	lysosome	go2
C000048	nucleus	go4
C000049	endoplasmic_reticulum	go4
C000051	nucleus	go4
C000052	mitochondria	go1
C000053	lysosome	go4
C000054	lysosome	go3
C000056	endoplasmic_reticulum	go2
C000058	mitochondria	go3
C000060	nucleus	go1
C000061	nucleus	go2
C000062	endoplasmic_reticulum	go4
C000064	lysosome	go1
C000065	lysosome	go2
C000068	lysosome	go1
C000070	nucleus	go1
C000072	nucleus	go3
C000074	lysosome	go3
C000075	endoplasmic_reticulum	go2
C000076	nucleus	go3
C000077	nucleus	go2
C000078	endoplasmic_reticulum	go2
C000079	mitochondria	go1
C000080	endoplasmic_reticulum	go3
C000081	nucleus	go2
C000082	endoplasmic_reticulum	go1
C000083	mitochondria	go3
C000084	lysosome	go4
C000085	lysosome	go1
C000087	endoplasmic_reticulum	go3
C000088	nucleus	go3
C000091	lysosome	go1
C000092	lysosome	go1
C000093	mitochondria	go3
C000094	endoplasmic_reticulum	go2
C000095	lysosome	go2
C000096	endoplasmic_reticulum	go2
C000098	lysosome	go3
C000100	nucleus	go2
C000101	lysosome	go4
C000102	lysosome	go4
C000103	nucleus	go4
C000105	lysosome	go1
C000106	endoplasmic_reticulum	go1
C000107	endoplasmic_reticulum	go1
C000108	nucleus	go2
C000109	lysosome	go3
C000111	endoplasmic_reticulum	go3
C000112	lysosome	go3
C000115	mitochondria	go3
C000116	nucleus	go1
C000118	nucleus	go1
C000120	lysosome	go1
C000121	mitochondria	go2
C000122	endoplasmic_reticulum	go2
C000123	endoplasmic_reticulum	go4
C000124	lysosome	go4
C000126	endoplasmic_reticulum	go2
C000129	nucleus	go1
C000130	nucleus	go2
C000131	mitochondria	go2
C000132	mitochondria	go3
C000133	mitochondria	go2
C000134	endoplasmic_reticulum	go1
C000135	endoplasmic_reticulum	go1
C000136	endoplasmic_reticulum	go1
C000137	lysosome	go2
C000138	endoplasmic_reticulum	go1
C000139	lysosome	go4
C000141	nucleus	go3
C000142	endoplasmic_reticulum	go1
C000143	nucleus	go4
C000144	endoplasmic_reticulum	go1
C000145	mitochondria	go4
C000146	nucleus	go1
C000147	nucleus	go4
C000149	mitochondria	go3
C000150	lysosome	go2
C000151	lysosome	go2
C000155	mitochondria	go4
C000156	mitochondria	go4
C000159	lysosome	go1
C000164	lysosome	go3
C000166	mitochondria	go4
C000167	nucleus	go1
C000171	nucleus	go1
C000173	mitochondria	go3
C000174	mitochondria	go1
C000175	lysosome	go4
C000176	endoplasmic_reticulum	go4
C000177	nucleus	go4
C000178	endoplasmic_reticulum	go3
C000179	nucleus	go2
C000180	lysosome	go3
C000181	lysosome	go3
C000183	nucleus	go1
C000184	nucleus	go1
C000185	nucleus	go3
C000187	lysosome	go4
C000189	nucleus	go1
C000190	nucleus	go3
C000191	endoplasmic_reticulum	go3
C000192	lysosome	go3
C000193	nucleus	go4
C000194	endoplasmic_reticulum	go2
C000196	mitochondria	go3
C000197	nucleus	go4
C000199	endoplasmic_reticulum	go4
C000200	mitochondria	go3
C000201	mitochondria	go2
C000202	endoplasmic_reticulum	go3
C000203	mitochondria	go1
C000204	lysosome	go3
C000205	lysosome	go4
C000206	endoplasmic_reticulum	go3
C000207	mitochondria	go3
C000208	lysosome	go3
C000209	lysosome	go4
C000210	mitochondria	go2
C000211	lysosome	go3
C000212	endoplasmic_reticulum	go3
C000213	mitochondria	go2
C000215	nucleus	go2
C000216	nucleus	go2
C000217	mitochondria	go4
C000218	nucleus	go2
C000219	mitochondria	go2
C000221	mitochondria	go3
C000223	mitochondria	go2
C000225	mitochondria	go4
C000226	endoplasmic_reticulum	go4
C000228	mitochondria	go3
C000229	endoplasmic_reticulum	go2
C000230	mitochondria	go1
C000231	endoplasmic_reticulum	go1
C000232	nucleus	go4
C000233	mitochondria	go3
C000234	endoplasmic_reticulum	go4
C000235	endoplasmic_reticulum	go1
C000236	lysosome	go3
C000238	lysosome	go1
C000240	endoplasmic_reticulum	go2
C000241	lysosome	go3
C000243	lysosome	go3
C000244	nucleus	go1
C000245	endoplasmic_reticulum	go2
C000246	lysosome	go2
C000247	nucleus	go3
C000249	endoplasmic_reticulum	go4
C000250	endoplasmic_reticulum	go2
C000252	mitochondria	go1
C000253	mitochondria	go3
C000254	lysosome	go2
C000255	endoplasmic_reticulum	go2
C000257	mitochondria	go4
C000258	nucleus	go2
C000259	endoplasmic_reticulum	go4
C000260	mitochondria	go2
C000261	nucleus	go1
C000262	mitochondria	go2
C000263	endoplasmic_reticulum	go3
C000265	mitochondria	go2
C000267	endoplasmic_reticulum	go4
C000268	endoplasmic_reticulum	go3
C000269	nucleus	go2
C000270	endoplasmic_reticulum	go2
C000271	mitochondria	go2
C000272	lysosome	go2
C000273	endoplasmic_reticulum	go1
C000274	mitochondria	go4
C000275	endoplasmic_reticulum	go1
C000279	lysosome	go3
C000280	mitochondria	go2
C000281	lysosome	go2
C000282	endoplasmic_reticulum	go1
C000283	endoplasmic_reticulum	go2
C000284	nucleus	go4
C000285	lysosome	go2
C000288	lysosome	go2
C000289	endoplasmic_reticulum	go1
C000291	lysosome	go4
C000292	lysosome	go3
C000293	mitochondria	go2
C000294	lysosome	go4
C000295	nucleus	go1
C000296	mitochondria	go3
C000297	nucleus	go1
C000298	mitochondria	go3
C000299	endoplasmic_reticulum	go2
C000301	lysosome	go1
C000302	endoplasmic_reticulum	go3
C000303	mitochondria	go2
C000304	mitochondria	go3
C000305	lysosome	go4
C000309	mitochondria	go4
C000310	nucleus	go1
C000311	lysosome	go2
C000313	lysosome	go4
C000315	mitochondria	go4
C000316	nucleus	go4
C000317	mitochondria	go3
C000319	mitochondria	go3
C000320	lysosome	go1
C000321	endoplasmic_reticulum	go1
C000322	lysosome	go1
C000323	endoplasmic_reticulum	go2
C000324	mitochondria	go2
C000325	mitochondria	go1
C000327	nucleus	go1
C000328	mitochondria	go2
C000329	mitochondria	go3
C000330	mitochondria	go3
C000331	lysosome	go2
C000332	mitochondria	go4
C000334	endoplasmic_reticulum	go1
C000337	nucleus	go4
C000338	endoplasmic_reticulum	go2
C000339	lysosome	go4
C000341	mitochondria	go4
C000343	mitochondria	go4
C000344	endoplasmic_reticulum	go4
C000346	lysosome	go1
C000347	endoplasmic_reticulum	go2
C000348	endoplasmic_reticulum	go1
C000349	mitochondria	go3
C000350	mitochondria	go4
C000352	lysosome	go2
C000353	nucleus	go1
C000354	lysosome	go3
C000356	endoplasmic_reticulum	go1
C000359	endoplasmic_reticulum	go2
C000360	mitochondria	go3
C000361	mitochondria	go1
C000363	endoplasmic_reticulum	go2
C000367	nucleus	go4
C000368	mitochondria	go4
C000369	nucleus	go3
C000370	mitochondria	go2
C000371	mitochondria	go4
